價格景氣,가격경기
價格告示,가격고시
價格構成,가격구성
價格安定措置,가격안정조치
價格危險,가격위험
價格制限幅,가격제한폭
價格指數,가격지수
價格效果,가격효과
家計生活指數,가계생활지수
家計所得,가계소득
家計收支,가계수지
家計手票,가계수표
家計調査,가계조사
落札,낙찰
南南問題,남남문제
南南協力,남남협력
納稅義務의 確定,납세 의무의 확정
納稅者保護擔當官制度,납세자 보호 담당관 제도
內國貿易,내국무역
內國信用狀,내국신용장
內國人所有化,내국인소유화
內國支給手段,내국지급수단
內國換,내국환
內部監査,내부감사
內部金融,내부금융
內部勞動市場,내부노동시장
內部收益率,내부수익률
內部市場,내부시장
內部要因,내부요인
內部留保,내부유보
內部理事,내부이사
內部者,내부자
內部者 去來,내부자거래
內部資金,내부자금
內部情報,내부정보
內部持分率,내부지분율
多國間貿易機構,다국간무역기구
多國間纖維協定,다국간 섬유협정
多國間通貨調整,다국간 통화조정
多國籍企業,다국적기업
多國籍銀行,다국적 은행
納入資本金,납입자본금
納入資本利益率,납입자본이익률
內國民待遇,내국민대우
內國換,내국환
反對賣買,반대매매
反騰,반등
反落,반락
反投資,반투자
發起設立,발기설립
惡材,악재
安全性 分析,안전성 분석
借款,차관
差別關稅,차별관세
差益去來,차익거래
創立總會,창립총회
他人資本,타인자본
他人資本回轉率,타인자본회전율
敎授評價,교수평가
敎育隔差,교육격차
敎育豫算,교육예산
敎育委員會,교육위원회
敎育의 機會均等,교육의 기회균등
敎育自治制,교육자치제
敎育的社會學,교육적 사회학
權威主義 敎育,권위주의 교육
期待效果,기대효과
機會均等의 原理,기회균등의 원리
論理的 誤謬,논리적 오류
能力檢査,능력검사
單答型 問項作成,단답형 문항작성
代案敎育,대안교육
事例硏究法,사례연구법
生活指導,생활지도
遂行評價,수행평가
心理治療,심리치료
兒童中心 敎育,아동중심 교육
外在的 動機,외재적 동기
遠隔敎育,원격교육
人文主義,인문주의
認知構造,인지구조
人性敎育,인성교육
自己主導的 學習,자기주도적 학습
情報處理理論,정보처리이론
診斷評價,진단평가
集團相談,집단상담
靑少年非行,청소년비행
討議法,토의법
退行,퇴행
統合敎育課程,통합교육과정
特殊敎育,특수교육
平生敎育,평생교육
學校運營委員會,학교운영위원회
學習不振兒,학습부진아
學習戰略,학습전략
學制,학제
協同學習,협동학습
形成評價,형성평가
江華島條約,강화도조약
廣開土大王陵碑,광개토대왕릉비
光州 學生 抗日 運動,광주학생항일운동
奎章閣,규장각
國債報償運動,국채보상운동
國子監,국자감
畿湖學派,기호학파
萬民共同會,만민공동회
東學,동학
東醫寶鑑,동의보감
東史綱目,동사강목
收入關稅,수입관세
信用危險,신용위험
信用派生商品,신용파생상품
新株引受權,신주인수권
讓渡性 預託證書,양도성 예탁증서
旅行者手票,여행자수표(T/C)
資産擔保證券,자산담보증권
調整計定,조정계정
電子商去來,전자상거래
電子資金移替制度,전자자금이체제도
債券,채권
價格,가격
檢數,검수
檢疫,검역
見本割引,견본할인
告知義務,고지의무
空積,공적
公正貿易,공정무역
課稅標準,과세표준
國際協力關稅,국제협력관세
單純信用狀,단순신용장
保稅區域,보세구역
保護貿易,보호무역
輸入代行,수입대행
輸出代行,수출대행
輸出保險,수출보험
輸出信用保證,수출신용보증
引受銀行,인수은행
通關,통관
海上保險,해상보험
價格彈力性,가격탄력성
價格破壞小賣店,가격파괴소매점
假需要,가수요
假處分所得,가처분소득
間接廣告,간접광고
間接物流費,간접물류비
檢字表示,검자표시
經濟5團體,경제5단체
經濟財,경제재
景品附販賣,경품부판매
季節的失業,계절적실업
顧客滿足經營,고객만족경영
顧客指向,고객지향
固定資産回轉率,고정자산회전율
共同施工契約,공동시공계약
共同集配送團地,공동집배송단지
共同出荷,공동출하
工業所有權,공업소유권
公正去來法,공정거래법
寡占,과점
關稅支給引導條件,관세지급인도조건
關稅還給,관세환급
購買管理,구매관리
購買承認書,구매승인서
購買時點廣告,구매시점광고
國際物流,국제물류
勸獎消費者價格,권장소비자가격
落胎罪,낙태죄
辯護士,변호사
一般赦免,일반사면
類推解釋,유추해석
抗訴,항소
官僚主義,관료주의
解除,해제
抑制理論,억제이론
橫領罪,횡령죄
環境權,환경권
軟性憲法,연성헌법
法醫學,법의학
留止請求權,유지청구권
裁判,재판
管轄,관할
名譽毁損罪,명예훼손죄
緊急避難,긴급피난
僞證罪,위증죄
保護觀察,보호관찰
單純承認,단순승인
物權的 請求權,물권적 청구권
累犯,누범
政黨,정당
大統領制,대통령제
比例代表制,비례대표제
聽聞會,청문회
中選擧區制 大選擧區制,중선거구제 대선거구제
院內交涉團體,원내교섭단체
壓力團體,압력단체
選擧公營制,선거공영제
不逮捕特權,불체포특권
免責特權,면책특권
勞使政委員會,노사정위원회
國政調査權,국정조사권
國政監査權,국정감사권
空轉,공전
無所屬議員,무소속의원
附議,부의
"審議, 審査",심의와 심사
加算金,가산금
加算稅,가산세
計算證明,계산증명
固定汚染源,고정오염원
國家非常事態,국가비상사태
都給經費,도급경비
明示移越,명시이월
保證履行業體,보증이행업체
社會間接資本,사회간접자본
先制行政,선제행정
輸入先多邊化,수입선다변화
用度變更 承認,용도변경 승인
日沒制,일몰제
制限稅率,제한세율
標準稅率,표준세율
行政情報公開制度,행정정보공개제도
還付制度,환부제도
特別徵收,특별징수
地域權,지역권
加工硬化,가공경화
可鍛性,가단성
可鍛鑄鐵,가단주철
可變速度電動機,가변속도전동기
加算混合,가산혼합
假想記憶裝置,가상기억장치
假想年,가상년
假像變位의 原理,가상변위의 원리
假說演繹法,가설연역법
假性貧血,가성빈혈
可塑物,가소물
加水分解,가수분해
加壓水形原子爐,가압수형원자로
